CoreID,TreeID,PlotID,Site,Tree,Species,Canopy Class,Live/Dead,DBH (cm),Stems,Total Cores,Core (A/B),Pith (Y/N),Pith Yr,inner present,Inner Measured,Outer Measured,Bark (Y/N),Inner Dated,Outer Dated,Dated,Notes,Zombie
ACA030A,ACA030,ACA,Austin Cary FL,030,PIPA,C,LIVE,22.20,1,2,A,,,,,,,,,,,
ACA030B,ACA030,ACA,Austin Cary FL,030,PIPA,C,LIVE,22.20,1,2,B,,,,,,,,,,,
ACA031A,ACA031,ACA,Austin Cary FL,031,PIPA,C,LIVE,29.50,1,2,A,,,,,,,,,,,
ACA031B,ACA031,ACA,Austin Cary FL,031,PIPA,C,LIVE,29.50,1,2,B,,,,,,,,,,,
ACA032A,ACA032,ACA,Austin Cary FL,032,PIPA,C,LIVE,21.20,1,2,A,,,,,,,,,,,
ACA032B,ACA032,ACA,Austin Cary FL,032,PIPA,C,LIVE,21.20,1,2,B,,,,,,,,,,,
ACB001A,ACB001,ACB,Austin Cary FL,001,PIPA,*,DEAD,26.80,1,2,A,,,,,,,,,,,
ACB001B,ACB001,ACB,Austin Cary FL,001,PIPA,*,DEAD,26.80,1,2,B,,,,,,,,,,,
ACB002A,ACB002,ACB,Austin Cary FL,002,PIPA,C,LIVE,28.50,1,2,A,,,,,,,,,,,
ACB002B,ACB002,ACB,Austin Cary FL,002,PIPA,C,LIVE,28.50,1,2,B,,,,,,,,,,,
ACB003A,ACB003,ACB,Austin Cary FL,003,PIPA,C,LIVE,33.20,1,2,A,,,,,,,,,,,
ACB003B,ACB003,ACB,Austin Cary FL,003,PIPA,C,LIVE,33.20,1,2,B,,,,,,,,,,,
ACB004A,ACB004,ACB,Austin Cary FL,004,PIPA,C,LIVE,30.50,1,2,A,,,,,,,,,,,
ACB004B,ACB004,ACB,Austin Cary FL,004,PIPA,C,LIVE,30.50,1,2,B,,,,,,,,,,,
ACB005A,ACB005,ACB,Austin Cary FL,005,PIPA,C,LIVE,33.50,1,2,A,,,,,,,,,,,
ACB005B,ACB005,ACB,Austin Cary FL,005,PIPA,C,LIVE,33.50,1,2,B,,,,,,,,,,,
ACB006A,ACB006,ACB,Austin Cary FL,006,PIPA,C,LIVE,22.90,1,2,A,,,,,,,,,,,
ACB006B,ACB006,ACB,Austin Cary FL,006,PIPA,C,LIVE,22.90,1,2,B,,,,,,,,,,,
ACB007A,ACB007,ACB,Austin Cary FL,007,PIPA,C,LIVE,33.30,1,2,A,,,,,,,,,,,
ACB007B,ACB007,ACB,Austin Cary FL,007,PIPA,C,LIVE,33.30,1,2,B,,,,,,,,,,,
ACB008A,ACB008,ACB,Austin Cary FL,008,PIPA,I,LIVE,10.00,1,2,A,,,,,,,,,,,
ACB008B,ACB008,ACB,Austin Cary FL,008,PIPA,I,LIVE,10.00,1,2,B,,,,,,,,,,,
ACB009A,ACB009,ACB,Austin Cary FL,009,PIPA,C,LIVE,34.30,1,2,A,,,,,,,,,,,
ACB009B,ACB009,ACB,Austin Cary FL,009,PIPA,C,LIVE,34.30,1,2,B,,,,,,,,,,,
ACB010A,ACB010,ACB,Austin Cary FL,010,PIPA,C,LIVE,27.20,1,2,A,,,,,,,,,,,
ACB010B,ACB010,ACB,Austin Cary FL,010,PIPA,C,LIVE,27.20,1,2,B,,,,,,,,,,,
ACB011A,ACB011,ACB,Austin Cary FL,011,PIPA,C,LIVE,29.90,1,2,A,,,,,,,,,,,
ACB011B,ACB011,ACB,Austin Cary FL,011,PIPA,C,LIVE,29.90,1,2,B,,,,,,,,,,,
ACB012A,ACB012,ACB,Austin Cary FL,012,PIPA,C,LIVE,24.40,1,2,A,,,,,,,,,,,
ACB012B,ACB012,ACB,Austin Cary FL,012,PIPA,C,LIVE,24.40,1,2,B,,,,,,,,,,,
ACB013A,ACB013,ACB,Austin Cary FL,013,PIPA,C,LIVE,29.60,1,2,A,,,,,,,,,,,
ACB013B,ACB013,ACB,Austin Cary FL,013,PIPA,C,LIVE,29.60,1,2,B,,,,,,,,,,,
ACB014A,ACB014,ACB,Austin Cary FL,014,PIPA,C,LIVE,28.90,1,2,A,,,,,,,,,,,
ACB014B,ACB014,ACB,Austin Cary FL,014,PIPA,C,LIVE,28.90,1,2,B,,,,,,,,,,,
ACB015A,ACB015,ACB,Austin Cary FL,015,PIPA,C,LIVE,28.40,1,2,A,,,,,,,,,,,
ACB015B,ACB015,ACB,Austin Cary FL,015,PIPA,C,LIVE,28.40,1,2,B,,,,,,,,,,,
ACB016A,ACB016,ACB,Austin Cary FL,016,PIPA,C,LIVE,31.40,1,2,A,,,,,,,,,,,
ACB016B,ACB016,ACB,Austin Cary FL,016,PIPA,C,LIVE,31.40,1,2,B,,,,,,,,,,,
ACB017A,ACB017,ACB,Austin Cary FL,017,PIPA,C,LIVE,26.70,1,2,A,,,,,,,,,,,
ACB017B,ACB017,ACB,Austin Cary FL,017,PIPA,C,LIVE,26.70,1,2,B,,,,,,,,,,,
ACB018A,ACB018,ACB,Austin Cary FL,018,PIPA,C,LIVE,28.80,1,2,A,,,,,,,,,,,
ACB018B,ACB018,ACB,Austin Cary FL,018,PIPA,C,LIVE,28.80,1,2,B,,,,,,,,,,,
ACB019A,ACB019,ACB,Austin Cary FL,019,PIPA,C,LIVE,28.50,1,2,A,,,,,,,,,,,
ACB019B,ACB019,ACB,Austin Cary FL,019,PIPA,C,LIVE,28.50,1,2,B,,,,,,,,,,,
ACB020A,ACB020,ACB,Austin Cary FL,020,PIPA,C,LIVE,34.90,1,2,A,,,,,,,,,,,
