year,allB_det20sp,firB_det20sp,pineB_det20sp,spruceB_det20sp
1864,0.928655728,0.923336695,0.906944634,0.973910176
1865,0.865882017,0.863224908,0.878290969,0.867412616
1866,0.940878889,0.943696166,0.938565145,0.946472477
1867,1.057358732,1.068452285,1.047941325,1.035184196
1868,1.018732472,1.001255794,1.03718766,1.034379571
1869,1.130245898,1.126601444,1.09881025,1.131493487
1870,1.056626534,1.039834326,1.080434282,1.05822997
1871,1.016405732,1.02587616,1.032059932,0.988602841
1872,0.913918005,0.910236031,0.934423108,0.918073901
1873,1.027371305,1.052050384,0.995157855,0.989088175
1874,0.927327802,0.9331596,0.911768229,0.924080444
1875,1.024518687,1.006261607,1.054752909,1.0383303
1876,1.132961188,1.116012453,1.159110961,1.116481218
1877,1.060618918,1.051191842,1.06910816,1.068254127
1878,1.020712536,1.014817516,1.02302108,1.031999199
1879,0.889605144,0.890627769,0.889388951,0.90044091
1880,0.833026812,0.826426414,0.820460268,0.869864541
1881,1.048027773,1.066237819,0.989590953,1.064682617
1882,0.819118812,0.81272873,0.844299086,0.83036533
1883,0.940194338,0.93298112,0.938386942,0.944575848
1884,1.065480031,1.067010616,1.06952908,1.052792131
1885,1.22618198,1.218245305,1.245593658,1.212693814
1886,1.111364435,1.122067605,1.110030546,1.081806976
1887,0.942594471,0.941607625,0.958506287,0.929444783
1888,0.991643115,1.00641952,0.971571975,0.986913643
1889,0.991670588,0.997438101,0.984858159,0.992148926
1890,0.816891773,0.79951394,0.837910358,0.857032855
1891,0.935191367,0.933555941,0.931269979,0.945463744
1892,1.020116114,1.0021751,0.995393142,1.087637203
1893,0.884839527,0.875338926,0.880701068,0.93153488
1894,1.101362468,1.095306064,1.112536091,1.079499917
1895,1.065844151,1.024835697,1.113973682,1.10434381
1896,0.949611205,0.930241566,0.993354584,0.94278375
1897,1.031437032,1.039115199,1.05371344,0.970370719
1898,1.090718651,1.117576102,1.079173899,1.055782897
1899,1.074513713,1.126712043,1.004593374,1.030895014
1900,1.189158546,1.218226872,1.12294255,1.185550101
1901,1.13900668,1.17003906,1.095403922,1.105738229
1902,0.916022921,0.937357159,0.892681141,0.91018701
1903,1.017291597,1.077809174,0.961922822,0.960015522
1904,0.946460084,0.979293986,0.92265689,0.91583297
1905,0.930556919,0.960933415,0.88009021,0.942462481
1906,0.611042316,0.625109946,0.644267643,0.615636116
1907,0.906962329,0.922960357,0.889832202,0.909994591
1908,0.871865383,0.836401709,0.894460048,0.923799768
1909,0.929075857,0.885950923,0.972012887,0.971821202
1910,0.887958056,0.785664068,0.98231238,0.982846298
1911,1.06232163,1.003377678,1.098412217,1.121000919
1912,1.071178133,1.038908245,1.098477821,1.088495781
1913,0.918088989,0.870976265,0.970071755,0.950501756
1914,1.06759188,1.054544484,1.072194126,1.074070069
1915,0.899908768,0.890060229,0.938740435,0.880916688
1916,1.031664079,1.009728415,1.066960827,1.029705023
1917,1.060286871,1.074595336,0.998326742,1.087043414
1918,1.059607826,1.084834149,1.005248659,1.092415697
1919,0.814530816,0.823260507,0.847964917,0.804827554
1920,0.852027996,0.842991126,0.915395459,0.81963729
1921,1.00568797,1.028335029,0.99804231,0.970397306
1922,1.1479252,1.141082849,1.138304702,1.151873401
1923,1.092953862,1.117725254,1.041707275,1.100063635
1924,1.051947082,1.039749305,1.07037097,1.047425712
1925,0.9832781,0.967719686,0.996385759,1.00060991
1926,1.059346879,1.062328372,1.096379763,1.023072872
1927,1.034196354,1.038434048,1.039514996,1.015761178
1928,1.061181574,1.06025619,1.076143594,1.039268087
1929,1.002616118,1.016945947,0.96363008,1.018435175
1930,0.856647163,0.870659325,0.850598497,0.83877087
1931,0.905457171,0.891231132,0.935518168,0.903934078
1932,0.891308107,0.885524882,0.901298595,0.89997337
1933,1.061797494,1.059537376,1.03683265,1.097707678
1934,0.910554787,0.910352796,0.920281421,0.904400758
1935,0.890340315,0.897336153,0.884176715,0.874658071
1936,1.013944194,1.01490056,1.009668396,1.014774697
1937,1.04624671,1.046316084,1.045003163,1.043454353
1938,1.038981286,1.030734191,1.057879229,1.031505836
1939,1.093217652,1.090442415,1.099605272,1.088089413
1940,1.0872318,1.100117559,1.066902286,1.075121256
1941,0.979874819,0.975167386,0.998220547,0.97033008
1942,1.016367373,1.024248064,1.005067053,1.011315907
1943,0.903720621,0.900722416,0.911590262,0.905016529
1944,0.922333839,0.92340079,0.921228804,0.924453175
1945,0.879430472,0.872639023,0.88240822,0.896173853
1946,1.0193139,1.000742078,1.040592716,1.033420681
1947,1.089539429,1.068875177,1.095692826,1.126539533
1948,0.879801303,0.872643695,0.910416898,0.864253078
1949,1.044013999,1.054725674,1.03282881,1.025128657
1950,1.034776333,1.037701006,1.031953457,1.029896376
1951,1.116922947,1.125582268,1.104873567,1.103043548
1952,1.041426876,1.055035658,1.041415317,1.008655371
1953,0.985998647,0.980689938,1.002862395,0.977487792
1954,0.914092535,0.911127905,0.911827285,0.930711333
1955,0.949681576,0.951761695,0.934657118,0.963254999
1956,0.977414826,0.973098425,0.971898204,0.993589957
1957,1.035680513,1.035428099,1.021547096,1.04695114
1958,1.063861312,1.074662599,1.049483855,1.046849535
1959,0.967142175,0.972344967,0.955095183,0.969831088
1960,0.960491246,0.961580579,0.956408065,0.962637985
1961,1.053793495,1.033365448,1.066256279,1.077574247
1962,1.040757211,1.009817773,1.054507686,1.084567639
1963,0.925413319,0.912007786,0.939471524,0.947123114
1964,0.968097832,0.975466177,0.9543035,0.968926071
1965,1.095849439,1.102251537,1.083077353,1.089621044
1966,1.010327139,1.020576058,1.027963866,0.967076943
1967,0.863396362,0.855614973,0.883910889,0.86898907
1968,0.924985683,0.923038047,0.929484047,0.93004879
1969,0.99122744,0.985643658,0.984301259,1.009596564
1970,0.939732084,0.954689464,0.937202649,0.918627159
1971,0.990945476,0.997908235,0.974420188,0.994568891
1972,1.044472746,1.048313687,1.060609467,1.018991722
1973,1.098816731,1.093243485,1.092824862,1.108097417
1974,1.036118922,1.02571792,1.054982637,1.037815682
1975,1.107386576,1.098163349,1.117371161,1.109157287
1976,0.957046351,0.951078466,0.945806247,0.981403066
1977,0.997628869,1.007754299,0.980747501,0.989736997
1978,0.996142936,1.001390656,0.987792203,0.992879755
1979,0.988510647,0.984471842,0.989933925,0.996548159
1980,1.024539609,1.020991156,1.024577217,1.029864549
1981,0.911359183,0.911967623,0.910923402,0.913719893
1982,0.94229099,0.938335437,0.944525331,0.954469426
1983,1.010152481,1.016110967,0.996171028,1.009718761
1984,0.936455357,0.937804373,0.927523755,0.942708297
1985,0.924112838,0.919329427,0.919353198,0.941068636
1986,1.05946122,1.066527204,1.057011394,1.046746997
1987,1.128722426,1.142863064,1.141185411,1.084417379
1988,1.073655774,1.083809014,1.073507526,1.048351519
1989,0.946136066,0.937171041,0.949506394,0.964641417
1990,1.034547479,1.029122018,1.03662386,1.043606914
1991,0.959561679,0.958314141,0.964170717,0.959504539
1992,0.828334585,0.829879023,0.823597864,0.834500602
1993,1.030815193,1.029841428,1.022570648,1.040683367
1994,1.049066433,1.05325181,1.034189128,1.052494604
1995,0.967716514,0.963261545,0.973812437,0.973381121
1996,1.024292723,1.021732626,1.028371652,1.023606439
1997,0.974641774,0.971768289,0.97763363,0.979367056
1998,1.129420341,1.128684925,1.121986753,1.133595611
1999,1.102748287,1.096512251,1.09849596,1.115112172
2000,1.016705675,1.014461927,1.045371553,0.99349274
2001,0.980576403,0.976885669,0.998703143,0.974688616
2002,0.90513544,0.921611333,0.869463655,0.901982009
2003,0.930918849,0.927660336,0.934563298,0.935037656
2004,0.792910723,0.778312115,0.817399321,0.8127635
2005,1.060279018,1.058980353,1.066142813,1.055163953
2006,0.912426557,0.908296896,0.914382533,0.924054131
2007,1.085789987,1.097505326,1.061030979,1.080775749
2008,0.974200875,0.988119915,0.953172412,0.963513244
2009,0.973201496,0.980646614,0.976569437,0.95543735
2010,1.063584526,1.066653322,1.063284729,1.047020052
2011,1.079335001,1.074565942,1.076814259,1.089712564
2012,0.975508575,0.964579275,0.98302945,0.997135888
