all	fir	pine	spruce
1700	0	0	0	0
1701	0	0	0	0
1702	0	0	0	0
1703	0	0	0	0
1704	0	0	0	0
1705	0	0	0	0
1706	0	0	0	0
1707	0	0	0	0
1708	0	0	0	0
1709	0	0	0	0
1710	0	0	0	0
1711	0	0	0	0
1712	0	0	0	0
1713	0	0	0	0
1714	0	0	0	0
1715	0	0	0	0
1716	0	0	0	0
1717	0	0	0	0
1718	0	0	0	0
1719	0	0	0	0
1720	0	0	0	0
1721	0	0	0	0
1722	0	0	0	0
1723	0	0	0	0
1724	0	0	0	0
1725	0	0	0	0
1726	0	0	0	0
1727	0	0	0	0
1728	0	0	0	0
1729	0	0	0	0
1730	0	0	0	0
1731	0	0	0	0
1732	0	0	0	0
1733	0	0	0	0
1734	0	0	0	0
1735	0	0	0	0
1736	0	0	0	0
1737	0	0	0	0
1738	0	0	0	0
1739	0	0	0	0
1740	0	0	0	0
1741	0	0	0	0
1742	0	0	0	0
1743	0	0	0	0
1744	0	0	0	0
1745	0	0	0	0
1746	0	0	0	0
1747	0	0	0	0
1748	0	0	0	0
1749	0	0	0	0
1750	0	0	0	0
1751	0.296634017530758	0	0.296634017530758	0
1752	1.30734576618747	0	1.30734576618747	0
1753	2.70092447221278	0	2.70092447221278	0
1754	3.26254396446927	0	3.26254396446927	0
1755	7.36541259965881	0	7.36541259965881	0
1756	8.9725596865358	0	8.9725596865358	0
1757	10.5441100413741	0	10.5441100413741	0
1758	11.5682861133015	0	11.5682861133015	0
1759	13.2218927381434	0	13.2218927381434	0
1760	18.572700133681	0	18.572700133681	0
1761	22.2710614762735	0	22.2710614762735	0
1762	24.2927990383275	0	24.2927990383275	0
1763	23.6378935758808	0	23.5651253870163	0.0727681888645198
1764	27.717311267711	0	27.4937130718235	0.22359819588741
1765	36.666840057992	0	36.0805913172159	0.586248740776095
1766	23.9706405354886	0.0483071526667661	23.0913383069324	0.830995075889383
1767	30.1553226932241	0.22145888383683	28.3743330657067	1.55953074368062
1768	42.1028302416642	0.468036461670647	39.8491922977198	1.78560148227371
1769	46.6276289799167	0.805791833886153	43.31016963245	2.51166751358058
1770	63.9278331003916	1.28959505259925	59.7892805577263	2.84895749006603
1771	54.772376418925	1.58639897638862	50.1654116187766	3.02056582375975
1772	60.1262947202562	1.70906086245973	54.7706715553781	3.64656230241846
1773	76.1467728240682	2.28411918667346	70.5393504940274	3.3233031433674
1774	61.5728188421616	2.56300739014949	54.6958376810467	4.3139737709654
1775	59.1789201342405	2.38636829090595	53.1611152699797	3.63143657335486
1776	64.8065209456625	2.63736300351632	58.9481325519528	3.22102539019343
1777	70.4055773765089	3.11595300614267	64.0769460710691	3.21267829929712
1778	83.6708995446805	5.05587752333309	74.1636839858986	4.45133803544876
1779	106.581831368609	5.66415075098835	97.1827597509842	3.73492086663602
1780	114.323847473694	6.84957986008194	103.4134015766	4.06086603701198
1781	101.876810618738	7.35705121053099	90.8274963995462	3.69226300866073
1782	132.022567693178	8.67090986407133	117.440775713051	5.91088211605581
1783	126.588742242577	9.73454884319315	110.167433755287	6.68675964409724
1784	133.941057478435	11.4360456824321	116.550339706566	5.95467208943762
1785	142.050667080288	12.0951756287489	124.295182615192	5.66030883634742
1786	122.998152332107	9.36998694639113	109.511212597924	4.11695278779158
1787	149.005400122128	12.0483295885559	131.921633859122	5.03543667444993
1788	166.812043077627	13.7547905142875	147.083639433715	5.97361312962499
1789	155.799284743843	14.6922532115927	135.478428823013	5.62860270923724
1790	150.702844732616	13.9414530612714	132.167335182912	4.59405648843288
1791	115.119201928897	14.5909878203744	95.7463159343483	4.78189817417471
1792	193.090636553371	14.6941246231549	173.672862314854	4.72364961536243
1793	215.520637841917	14.6855951906288	196.504579777082	4.33046287420626
1794	243.228716557343	17.7814755143413	218.266686246431	7.18055479657052
1795	223.732091549722	16.31257540666	201.608104478443	5.81141166461855
1796	224.504457688532	16.0029955573182	200.798199212056	7.70326291915787
1797	242.880673941039	20.1370701004995	215.640974577903	7.10262926263614
1798	283.121912396053	19.2335873740553	255.934190814265	7.95413420773275
1799	277.645000929663	18.8914940045982	251.134075931609	7.61943099345535
1800	267.445431434003	17.9997599060535	240.390232212547	9.05543931540228
1801	248.692602287778	18.3191665653165	220.462705439796	9.91073028266543
1802	249.824268445305	16.6931777491613	223.052291459829	10.0787992363147
1803	233.340218478797	15.8588527951145	206.601391291806	10.8799743918762
1804	221.10301357904	16.2186892734943	190.936846483519	13.9474778220273
1805	220.243605757692	14.5937148594582	191.969548279822	13.6803426184119
1806	235.928946946304	15.6993490681411	206.507831402213	13.72176647595
1807	268.87578834352	17.6616239232774	235.388915935369	15.8252484848734
1808	272.16384938729	17.2175177890115	240.828632708997	14.1176988892815
1809	271.482333553908	17.4105928858197	239.371380169945	14.7003604981437
1810	257.025865580812	15.7454159512172	224.830425773498	16.450023856097
1811	283.864844332747	17.9665251943814	240.322578097712	25.5757410406537
1812	335.756170660559	21.103706867114	290.326234922045	24.3262288714008
1813	326.952227852435	22.2886866659652	284.42420717299	20.2393340134795
1814	309.765871268376	21.9546284608021	267.230156347784	20.5810864597903
1815	360.708940001992	26.7990520758357	309.854126331385	24.0557615947715
1816	369.674567211709	26.4029473275294	317.537320872002	25.7342990121778
1817	372.253746251074	24.2816786960014	322.769999782112	25.2020677729614
1818	310.199282085866	25.1410905757684	262.209145569953	22.8490459401447
1819	339.489851896118	26.8861800605748	287.702388446766	24.9012833887776
1820	354.301224452365	28.2445389201131	300.840921958592	25.2157635736603
