TreeID,PlotID,site,tree,spp,canopy.class,live.dead,dbh,stems,total.cores,ba.cm,ba.meter.ha,density,notes,Distance,Azimuth
ACB017,ACB,Austin Cary FL,17,PIPA,C,LIVE,26.7,1,2,559.9,0.44555625,7.957747155,,18.83,199
ACB018,ACB,Austin Cary FL,18,PIPA,C,LIVE,28.8,1,2,651.4,0.5184,7.957747155,,16.29,182
ACB019,ACB,Austin Cary FL,19,PIPA,C,LIVE,28.5,1,2,637.9,0.50765625,7.957747155,,15.78,167
ACB020,ACB,Austin Cary FL,20,PIPA,C,LIVE,34.9,1,2,956.6,0.76125625,7.957747155,has a large fire scar,15.89,165
ACB021,ACB,Austin Cary FL,21,PIPA,C,LIVE,29.7,1,2,692.8,0.55130625,7.957747155,,12.5,166
ACB022,ACB,Austin Cary FL,22,PIPA,C,LIVE,24,1,2,452.4,0.36,7.957747155,,9.79,127
ACB023,ACB,Austin Cary FL,23,PIPA,C,LIVE,32.6,1,2,834.7,0.664225,7.957747155,,6.36,134
ACB024,ACB,Austin Cary FL,24,PIPA,C,LIVE,32.7,1,2,839.8,0.66830625,7.957747155,,0.95,56
ACB025,ACB,Austin Cary FL,25,PIPA,C,LIVE,13.6,1,2,145.3,0.273609467,18.83490451,,1.3,54
ACB026,ACB,Austin Cary FL,26,PIPA,C,LIVE,35.5,1,2,989.8,0.78765625,7.957747155,,14.52,109
ACB027,ACB,Austin Cary FL,27,PIPA,C,LIVE,33.8,1,2,897.3,0.714025,7.957747155,,13.94,91
ACB028,ACB,Austin Cary FL,28,PIPA,C,LIVE,25.5,1,2,510.7,0.40640625,7.957747155,,9.05,71
ACB029,ACB,Austin Cary FL,29,PIPA,C,LIVE,20.8,1,2,339.8,0.2704,7.957747155,,15.96,50
ACB030,ACB,Austin Cary FL,30,PIPA,C,LIVE,28.6,1,2,642.4,0.511225,7.957747155,,16.69,49
ACB031,ACB,Austin Cary FL,31,PIPA,C,LIVE,28.5,1,2,637.9,0.50765625,7.957747155,,19.37,18
ACB032,ACB,Austin Cary FL,32,PIPA,*,DEAD,10.6,1,0,88.2,0.166213018,18.83490451,"unstable, no core",10.85,135
ACC001,ACC,Austin Cary FL,1,PIPA,*,DEAD,22.4,1,0,394.1,0.3136,7.957747155,"burned severely, no core",4.58,291
ACC002,ACC,Austin Cary FL,2,PIPA,C,LIVE,37.7,1,2,1116.3,0.88830625,7.957747155,,6.06,301
ACC003,ACC,Austin Cary FL,3,PIPA,C,LIVE,27.6,1,2,598.3,0.4761,7.957747155,,11.57,305
ACC004,ACC,Austin Cary FL,4,PIPA,C,LIVE,35.3,1,2,978.7,0.77880625,7.957747155,has a fire scar @ base,15.23,273
ACC005,ACC,Austin Cary FL,5,PIPA,C,LIVE,29.4,1,2,678.9,0.540225,7.957747155,,18.46,257
ACC006,ACC,Austin Cary FL,6,PIPA,C,LIVE,30.5,1,2,730.6,0.58140625,7.957747155,,16.09,226
