"","MMA007A","MMA007B","MMA014A","MMA014B","MMA015A","MMA015B","MMA018A","MMA018B","MMA018C","MMA018D","MMA022A","MMA022B","MMA023A","MMA023B","MMA024A","MMA024B","MMA026A","MMA026B","MMA030A","MMA030B","MMA031A","MMA031B","MMA032A","MMA032B","MMB001A","MMB001B","MMB002A","MMB002B","MMB003A","MMB003B","MMB004A","MMB004B","MMB006A","MMB006B","MMB007A","MMB007B","MMB008A","MMB008B","MMB008C","MMB009A","MMB009B","MMB011A","MMB012A","MMB012B","MMB013B","MMB014A","MMB014B","MMB015A","MMB015B","MMB016A","MMB016B","MMB016C","MMB018A","MMB018B","MMB019A","MMB020A","MMB020B","MMB021A","MMB021B","MMB022A","MMB023A","MMB024A","MMB024B","MMB025A","MMB025B","MMB026B","MMC003A","MMC003B","MMC010A","MMC010B","MMC011A","MMC013A","MMC013B","MMC016A","MMC016B","MMC017A","MMC017B","MMC018A","MMC018B","MMC022A","MMC022B","MMC023A","MMC023B","MMC024A","MMC024B","MMC026A","MMC026B","MMC026C","MMC027A","MMC027B","MMC032A","MMC032B","MMC033A","MMC033B"
"1917",29.934,NA,24.6,22.429,17.114,16.823,NA,NA,80.47,NA,NA,23.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.689,34.525,47.787,49.802,NA,NA,NA,NA,NA,NA,NA,30.702,NA,20.137,47.112,45.825,43.536,35.946,34.983,30.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.148,NA,NA,NA,NA,NA,NA,17.232,36.82,34.735,25.48,NA,17.877,NA,NA,38.396,33.068,26.814,NA,NA,NA,77.815,NA,NA,NA,NA,NA,NA,NA,NA,32.832,NA,33.37,29.722,26.467,NA,27.777,34.711,34.018,36.491,34.313
"1916",29.753,NA,24.528,22.353,17.098,16.808,NA,NA,80.2285,NA,NA,23.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.609,34.422,47.479,49.461,NA,NA,NA,NA,NA,NA,NA,30.412,NA,19.993,46.865,45.544,43.248,35.631,34.714,29.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.107,NA,NA,NA,NA,NA,NA,17.202,36.662,34.577,25.459,NA,17.754,NA,NA,38.141,NA,26.671,NA,NA,NA,77.332,NA,NA,NA,NA,NA,NA,NA,NA,32.439,NA,33.011,29.364,26.139,NA,27.586,34.473,33.727,36.239,34.046
"1915",29.609,NA,24.421,22.255,17.06,16.771,NA,NA,79.957,NA,NA,22.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.505,34.3,46.992,49.039,NA,NA,NA,NA,NA,NA,NA,30.154,NA,19.854,46.552,45.239,42.855,35.261,34.303,29.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.073,NA,NA,NA,NA,NA,NA,17.123,36.398,34.357,25.394,NA,17.598,NA,NA,37.767,NA,26.486,NA,NA,NA,76.9199999999999,NA,NA,NA,NA,NA,NA,NA,NA,32.15,NA,32.591,28.954,25.794,NA,27.37,34.168,33.375,35.873,33.716
"1914",29.41,NA,24.322,22.147,17.011,16.735,NA,NA,79.6855,NA,NA,22.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.372,34.131,46.49,48.599,NA,NA,NA,NA,NA,NA,NA,29.7,NA,19.662,46.327,45.003,42.56,34.892,33.946,29.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.006,NA,NA,NA,NA,NA,NA,16.966,36.147,34.156,25.312,NA,17.46,NA,NA,37.475,NA,26.339,NA,NA,NA,76.6359999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.201,28.633,25.481,NA,27.13,33.855,33.026,35.524,33.387
"1913",29.261,NA,24.255,22.062,16.98,16.712,NA,NA,79.514,NA,NA,22.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.257,34.012,46.274,48.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.574,46.175,44.852,42.376,34.722,33.782,29.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.982,NA,NA,NA,NA,NA,NA,16.842,35.972,34.021,25.263,NA,17.41,NA,NA,NA,NA,26.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.946,NA,25.244,NA,27.024,33.689,32.851,35.292,33.205
"1912",29.124,NA,24.181,21.953,16.882,16.645,NA,NA,79.2805,NA,NA,22.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.091,33.876,45.981,48.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.404,45.971,44.656,42.109,34.417,33.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.927,NA,NA,NA,NA,NA,NA,16.763,35.735,33.824,25.245,NA,17.358,NA,NA,NA,NA,26.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.618,NA,NA,NA,26.864,33.469,32.605,34.943,NA
"1911",28.87,NA,24.041,21.811,16.762,16.54,NA,NA,79.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.812,33.616,45.339,47.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.178,45.708,44.352,41.66,33.893,33.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.859,NA,NA,NA,NA,NA,NA,16.651,35.468,33.578,25.191,NA,17.223,NA,NA,NA,NA,25.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.17,NA,NA,NA,26.612,33.093,32.252,34.612,NA
"1910",28.691,NA,23.897,21.681,16.677,16.474,NA,NA,78.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.413,45.011,47.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.022,45.545,44.182,NA,33.547,32.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.79,NA,NA,NA,NA,NA,NA,16.481,35.246,33.376,25.089,NA,17.154,NA,NA,NA,NA,25.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.927,NA,NA,NA,NA,32.805,31.922,34.373,NA
"1909",28.493,NA,23.689,21.511,16.517,16.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.092,44.683,46.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.845,45.351,43.991,NA,33.071,32.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.677,NA,NA,NA,NA,NA,NA,16.423,35.047,33.234,25.056,NA,17.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.711,NA,NA,NA,NA,32.553,31.643,34.036,NA
"1908",28.335,NA,23.446,21.227,16.309,16.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.868,44.165,46.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.558,NA,43.763,NA,32.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.539,NA,NA,NA,NA,NA,NA,16.284,34.734,33.007,24.992,NA,16.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.282,31.367,33.771,NA
"1907",28.184,NA,23.275,20.943,15.972,15.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.647,43.623,45.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.086,34.496,32.82,24.912,NA,16.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.977,31.063,33.502,NA
"1906",28.1,NA,23.037,20.698,15.648,15.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.435,NA,45.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.947,34.317,32.659,24.851,NA,16.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.705,NA,33.344,NA
"1905",27.969,NA,22.883,20.389,15.282,15.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,NA,44.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.495,24.771,NA,16.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.379,NA,33.168,NA
"1904",NA,NA,NA,NA,14.684,15.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.144,NA,43.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.045,NA,NA,NA
"1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.915,NA,43.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
