,ash.20,ash.depth,maple.20,maple.depth,white.20,white.depth,litu.20,litu.depth,red.20,red.depth,fagr.20,fagr.depth,sass.20,sass.depth
1903,1.343351735,1,,,,,1.229021416,1,,,,,,
1904,0.925195881,2,1.469325541,3,1.10446692,2,0.916400035,1,,,,,,
1905,1.076568749,4,1.141058058,5,1.275871488,3,0.953053693,1,0.903225467,2,,,,
1906,0.84493935,5,0.968175531,8,0.919616101,4,0.990552337,1,0.925093214,2,,,,
1907,0.875543192,6,0.907201334,10,0.693760513,4,0.968233527,2,1.083538902,2,,,,
1908,1.025278799,6,0.912726558,11,1.101047662,4,1.05578962,3,1.060501842,2,1.128642622,1,,
1909,1.065355015,6,0.937395699,12,0.953497817,5,1.042435531,5,1.361475049,2,1.203284853,1,,
1910,0.917228684,7,1.00711471,14,1.1093491,5,0.850416155,5,1.280142366,3,1.117726803,1,,
1911,1.06192246,8,0.89866671,15,0.721675946,5,0.795015352,7,0.768000557,3,0.78339271,1,,
1912,1.328689492,8,1.133525779,16,1.217477914,5,1.428360684,7,0.984569523,3,1.13163702,2,,
1913,0.8830626,8,0.82769823,18,1.015969953,6,0.895907796,8,0.809905527,3,0.752248791,2,,
1914,0.780015366,8,0.814484005,18,0.647196487,9,0.660181704,9,0.692705029,3,0.524858622,2,,
1915,1.209684304,8,1.312811819,18,1.085479108,10,1.10635301,9,1.10287293,3,1.214229701,2,,
1916,1.15341048,8,1.132557201,19,1.16913384,10,1.29330414,9,1.21819161,3,0.992275989,2,,
1917,0.958166259,8,1.125600921,19,1.049165244,11,1.088348554,9,1.024341051,3,1.120855905,2,,
1918,0.772729402,8,0.806411057,20,0.89243043,12,0.923426131,9,0.835139265,3,0.844816398,2,,
1919,0.619430612,8,0.760447136,20,0.776834659,12,0.894957,10,0.871028209,4,0.805769972,2,,
1920,0.980881252,9,1.007299853,20,0.93640612,12,0.998743599,11,1.025835663,4,1.090862978,3,,
1921,0.820604045,9,0.888863179,20,0.936250418,12,0.852449822,11,0.887227436,4,0.904089245,3,,
1922,0.994487483,9,0.974783795,20,1.07380415,12,0.867602949,11,0.920097293,4,1.163620218,3,,
1923,0.875994555,9,0.737165122,20,1.14607235,12,0.935525395,12,0.988248417,4,0.651638182,4,,
1924,1.143968029,9,1.08481956,21,1.021572724,12,1.25276441,13,0.948732151,5,0.839401078,4,,
1925,0.728080912,9,0.97037579,23,0.965357984,12,0.847932431,13,0.811697951,5,1.227179143,5,,
1926,1.097801557,9,0.758049223,23,1.064304482,12,0.928344281,13,1.033781708,5,1.135070532,5,,
1927,1.217931341,9,1.211499476,23,1.037426142,12,1.208021795,13,1.129406205,6,1.134856064,5,,
1928,1.184352689,9,0.983474739,24,1.084626448,12,1.180461958,13,1.207053692,6,0.944644086,5,,
1929,1.143205106,9,1.13025754,24,0.994446739,12,1.226584719,13,1.173917651,6,1.171740177,6,,
1930,0.973341047,9,0.756333037,24,0.918939008,12,0.840972489,13,0.990669381,6,0.758020345,6,,
1931,0.94004701,9,1.137981282,25,0.856550234,12,0.832244987,13,0.929032722,6,0.733060343,7,,
1932,0.946340419,9,0.970257464,26,0.864816116,12,1.113665492,13,1.022991157,6,0.973070758,7,,
1933,0.870645113,9,0.596799353,26,0.607650502,12,0.784527324,13,0.829198381,6,0.898562719,7,,
1934,0.94048692,9,1.026305269,27,0.939840075,12,0.891560458,13,0.95317741,6,0.796364132,7,,
