"","x"
"1",31.6483738327579
"2",31.6143573976141
"3",31.4107749291036
"4",31.2590292340931
"5",31.0426993817615
"6",30.7155894171409
"7",30.4193309398907
"8",30.1730050934183
"9",29.9213983266971
"10",29.5791434778868
"11",29.268491257091
"12",28.9413968470543
"13",28.6383248701194
"14",28.3004846196998
"15",27.9102693001218
"16",27.5913308921839
"17",27.2501965727399
"18",26.8598444882236
"19",26.5802203996811
"20",26.3136507388735
"21",25.9503740362075
"22",25.7087913893277
"23",25.1939289457832
"24",24.7015376730014
"25",24.3844566630782
"26",23.9771338458512
"27",23.7051260015504
"28",23.521401057126
"29",23.0951520270645
"30",22.7329741774698
"31",22.3844711589718
"32",22.1636150543418
"33",21.8425163665355
"34",21.3673237356677
"35",21.0222232591451
"36",20.5094352780112
"37",20.1102515637183
"38",19.7401427510203
"39",19.4173236517941
"40",19.0325789139911
"41",18.5001010747148
"42",17.8307401820432
"43",17.5375857495138
"44",17.0803358268638
"45",16.8518177115909
"46",16.6342172005464
"47",16.1737732971607
"48",15.8798759103521
"49",15.633045359542
"50",15.3871370445201
"51",14.6739274530021
"52",14.4262015938962
"53",14.2453717504584
"54",14.0920358274642
"55",13.9440013151513
"56",13.7620411921818
"57",13.4839841202234
"58",13.3076339811227
"59",13.1357256950129
"60",12.9436221609331
"61",12.8299844345282
"62",12.7321162335688
"63",12.616534315813
"64",12.4614035898601
"65",12.2594081076568
"66",12.0611115945791
"67",11.8729940265281
"68",11.7099869759117
"69",11.5544629577071
"70",11.3980305178898
"71",11.280456739588
"72",11.1193481142108
"73",11.22159158602
"74",11.0790206973674
"75",10.9914955332023
"76",10.8778153510603
"77",10.7213924166613
"78",10.5364028342552
"79",10.3768820569969
"80",10.3049099350085
"81",10.1580958630816
"82",10.0313446694937
"83",9.93436928794496
"84",9.796415711573
"85",8.69479626204266
"86",8.58815983472814
"87",8.44433288965935
"88",8.29449846250248
"89",8.14940228623141
"90",8.0208260448418
"91",7.56799592382635
"92",7.42198036089664
"93",7.25648160084396
"94",7.15330428953734
"95",7.06342064412794
"96",6.85857009703232
"97",5.57669403010696
"98",5.50984169196786
"99",5.4269309312994
"100",5.32168213183598
"101",5.21367793458083
"102",4.75765286630219
"103",4.30898445188018
"104",4.20972712174349
"105",4.21485322920648
"106",4.14675155165309
"107",4.03295589629781
"108",2.61898287542113
"109",2.62920042770224
"110",1.97282574412468
"111",1.32060739999189
"112",1.01836278037862
