"","ACSA","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"1903",0.0289652180610393,0.00559113710725605,0.0839676501939828,0.0607584946081616,0.0276889702808254,NA,0.40651308038711,1.36444803105921,0,0.0162336180562828,0.000191244701508293
"1904",0.0329957409369694,0.00609937784212448,0.0861477742313413,0.0652426514371429,0.0346808652481646,NA,0.430412039214753,1.43174372576986,0,0.0190952298757469,0.000294357870452296
"1905",0.0373087232963909,0.00663386868726998,0.0884742576194039,0.0701776338376044,0.0427098573262472,NA,0.455511444561039,1.50109650671421,0,0.0222043684000128,0.000425393149351831
"1906",0.0417627153824953,0.00719500597570696,0.0909534154932859,0.0751467461893487,0.0517093985948794,NA,0.480897558884918,1.57187079265241,0,0.0255894398458841,0.000586708723817934
"1907",0.0465766928646494,0.00778317850258126,0.0935913656438779,0.0803275835584996,0.0607621596432351,NA,0.506298877527199,1.64418117135199,0,0.0292638595525795,0.000780581314554765
"1908",0.0514790294039251,0.00839876790913879,0.0967167016583549,0.0862567964612345,0.0711095521013844,NA,0.53391607024806,1.71772715676424,0,0.0332343130380704,0.00100922600335661
"1909",0.0567556095397641,0.00904214903564553,0.100003509225806,0.0925695799161037,0.0818176659224777,NA,0.561450984454984,1.79312271929385,0,0.0375043586217781,0.00127481002567241
"1910",0.0628293075936455,0.00971369024664277,0.103366445190485,0.0993686865308283,0.0911881611377722,NA,0.590484799453559,1.86596866953461,0,0.0420754944668582,0.00157946260340682
"1911",0.0689347243644724,0.0117267327095513,0.106703250514725,0.108534247167965,0.100353156059512,NA,0.618357680309595,1.9066071002194,0,0.0468610040438321,0.00192528205000985
"1912",0.0757452325863928,0.0131206241967839,0.110257111801664,0.117843551784838,0.117687720448926,NA,0.648783744401013,1.95495218185079,0,0.0558804840988506,0.00231434092050242
"1913",0.0815509491973042,0.0135127765107049,0.113746179855667,0.124596091902814,0.128330871374255,NA,0.678468964057977,1.99674312860922,0,0.0608752272071016,0.00274868971254518
"1914",0.0873298162539509,0.0142432839909302,0.117256970151953,0.13100292344061,0.0909880856958704,NA,0.705931103739691,2.02834703772317,0,0.0655131632346393,0.00323035946220002
"1915",0.0955226339438508,0.0146170615959485,0.121350505443145,0.139747229241404,0.102149227067826,NA,0.73262800845344,2.077896054235,0,0.0745444165434855,0.00376136347489418
"1916",0.102630665589161,0.0152656198558315,0.125558049857354,0.148945182826182,0.114600991632262,NA,0.768197523526803,2.12819572767352,0,0.0831763879638837,0.00434369836433579
"1917",0.109297387962993,0.0160300682584332,0.130049361754047,0.156892193641882,0.125340516806188,NA,0.806568508186241,2.17348224486063,0,0.0919308227347893,0.00497934452629209
"1918",0.115880479044755,0.0167859562423241,0.13456006141775,0.163626669006015,0.13405004010989,NA,0.83520473238779,2.2075343044358,0,0.0993250731225005,0.00567026614234505
"1919",0.122365426248718,0.0174890991078273,0.139308770996275,0.17079300534042,0.143786994269588,NA,0.860211555268265,2.24230929709959,0,0.102834769010326,0.00616760862311305
"1920",0.129906760536506,0.0179850591462005,0.144587665357241,0.178856238990372,0.157356945095704,NA,0.882317519404751,2.28492420221955,0,0.11042182718742,0.00682723326423453
"1921",0.137733236949466,0.0182951609574898,0.150056482076004,0.185954260833945,0.169198847458766,NA,0.908583690797466,2.32153122813258,0,0.117587922537512,0.00741257916683828
"1922",0.145237014053176,0.0186844679119155,0.155889390411969,0.194254504291518,0.182051030070832,NA,0.934714329363338,2.36411053182792,0,0.126084256806753,0.00808615447626897
"1923",0.152631417537447,0.0190235811119328,0.161616845954481,0.202071292919699,0.197569390076758,NA,0.960674264250291,2.40749924314463,0,0.133475929762398,0.00865556009074685
"1924",0.160454074775074,0.0207502116300137,0.167693282348804,0.211661448734806,0.218706162153383,NA,0.979160750034712,2.4571841609769,0,0.144868429582254,0.00971484377783714
"1925",0.16820099059098,0.0211693686372365,0.175066573558676,0.218660020354467,0.236794976853204,NA,0.996385848437956,2.50390615783763,0,0.155707795221568,0.0104021957008128
"1926",0.176854027653423,0.0213572477480062,0.182924922047704,0.228425501277793,0.254808492486775,NA,1.01788445039626,2.55809972347652,0,0.164286352627448,0.0117528473437192
"1927",0.186697794537364,0.0214751691753553,0.190901807350827,0.239984199135353,0.27809687534038,NA,1.04206610531269,2.61790368503359,0,0.17847600009333,0.0132194077309772
"1928",0.196081950681999,0.0216409022704519,0.198770186117728,0.250973982752334,0.303565659863149,NA,1.06224089366734,2.69235395692491,0,0.18801444957827,0.0142215560763453
"1929",0.206119111937764,0.0224747898662071,0.205593489457653,0.261665094791567,0.330228822449161,NA,1.08038593159398,2.75764585468601,0,0.193878004173959,0.0150650522823386
"1930",0.215164947800191,0.0230985569479611,0.211324215737827,0.271063626921587,0.349804453774154,NA,1.09911812320919,2.81254908182033,0,0.201286492610103,0.0157989722335611
"1931",0.225755259168173,0.0233211154574166,0.215639215022889,0.280291582090266,0.36825366705971,NA,1.11117953708348,2.86057462794959,0,0.212259021116021,0.016482713098773
"1932",0.236707606859949,0.0234453027201739,0.221441645774151,0.28989255799808,0.394171527012055,NA,1.1243653885145,2.92151063761629,0,0.224056805794073,0.0172665621222629
"1933",0.24567365496702,0.0235324651094578,0.227167595887674,0.298893090560173,0.414287808075948,NA,1.13351617474605,2.96873172465441,0,0.232976154317352,0.017806374302205
"1934",0.258569005992735,0.0238327556002516,0.235014026427669,0.309377001042709,0.438843260672401,NA,1.15106814304221,3.02294929617906,0,0.244358715459139,0.0182699785536588
