"TreeID","PlotID","site","tree","species","canopy.class","live.dead","dbh","stems","total.cores","BA.cm2","BA.m2.ha","dens.stem.ha","notes","distance","azimuth","plot","Dated"
"ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,581.1,0.4624,7.957747155,NA,6.66,250,"B",NA
"ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,702.2,0.55875625,7.957747155,NA,18.31,240,"B",NA
"ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,467.6,0.3721,7.957747155,NA,18.04,226,"B",NA
"ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,688.1,0.5476,7.957747155,NA,19.12,215,"B",NA
"ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,656,0.52200625,7.957747155,NA,15.81,221,"B",NA
"ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,633.5,0.5041,7.957747155,NA,9.56,225,"B",NA
"ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,774.4,0.616225,7.957747155,NA,10.52,214,"B",NA
"ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,559.9,0.44555625,7.957747155,NA,18.83,199,"B",NA
"ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,651.4,0.5184,7.957747155,NA,16.29,182,"B",NA
"ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,637.9,0.50765625,7.957747155,NA,15.78,167,"B",NA
"ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,956.6,0.76125625,7.957747155,"has a large fire scar",15.89,165,"B",NA
"ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,692.8,0.55130625,7.957747155,NA,12.5,166,"B",NA
"ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,452.4,0.36,7.957747155,NA,9.79,127,"B",NA
"ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,834.7,0.664225,7.957747155,NA,6.36,134,"B",NA
"ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,839.8,0.66830625,7.957747155,NA,0.95,56,"B",NA
"ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,145.3,0.273609467,18.83490451,NA,1.3,54,"B",NA
"ACB026","ACB","Austin Cary FL",26,"PIPA","C","LIVE",35.5,1,2,989.8,0.78765625,7.957747155,NA,14.52,109,"B",NA
"ACB027","ACB","Austin Cary FL",27,"PIPA","C","LIVE",33.8,1,2,897.3,0.714025,7.957747155,NA,13.94,91,"B",NA
"ACB028","ACB","Austin Cary FL",28,"PIPA","C","LIVE",25.5,1,2,510.7,0.40640625,7.957747155,NA,9.05,71,"B",NA
"ACB029","ACB","Austin Cary FL",29,"PIPA","C","LIVE",20.8,1,2,339.8,0.2704,7.957747155,NA,15.96,50,"B",NA
"ACB030","ACB","Austin Cary FL",30,"PIPA","C","LIVE",28.6,1,2,642.4,0.511225,7.957747155,NA,16.69,49,"B",NA
"ACB031","ACB","Austin Cary FL",31,"PIPA","C","LIVE",28.5,1,2,637.9,0.50765625,7.957747155,NA,19.37,18,"B",NA
"ACB032","ACB","Austin Cary FL",32,"PIPA",NA,"DEAD",10.6,1,0,88.2,0.166213018,18.83490451,"unstable, no core",10.85,135,"B",NA
"ACC001","ACC","Austin Cary FL",1,"PIPA",NA,"DEAD",22.4,1,0,394.1,0.3136,7.957747155,"burned severely, no core",4.58,291,"C",NA
"ACC002","ACC","Austin Cary FL",2,"PIPA","C","LIVE",37.7,1,2,1116.3,0.88830625,7.957747155,NA,6.06,301,"C",NA
"ACC003","ACC","Austin Cary FL",3,"PIPA","C","LIVE",27.6,1,2,598.3,0.4761,7.957747155,NA,11.57,305,"C",NA
"ACC004","ACC","Austin Cary FL",4,"PIPA","C","LIVE",35.3,1,2,978.7,0.77880625,7.957747155,"has a fire scar @ base",15.23,273,"C",NA
"ACC005","ACC","Austin Cary FL",5,"PIPA","C","LIVE",29.4,1,2,678.9,0.540225,7.957747155,NA,18.46,257,"C",NA
"ACC006","ACC","Austin Cary FL",6,"PIPA","C","LIVE",30.5,1,2,730.6,0.58140625,7.957747155,NA,16.09,226,"C",NA
"ACC007","ACC","Austin Cary FL",7,"PIPA","C","LIVE",26.3,1,2,543.3,0.43230625,7.957747155,NA,12.23,207,"C",NA
"ACC008","ACC","Austin Cary FL",8,"PIPA","C","LIVE",23.5,1,2,433.7,0.34515625,7.957747155,NA,6.86,210,"C",NA
"ACC009","ACC","Austin Cary FL",9,"PIPA","C","LIVE",28.5,1,2,637.9,0.50765625,7.957747155,NA,16.69,184,"C",NA
"ACC010","ACC","Austin Cary FL",10,"PIPA","C","LIVE",27.3,1,2,585.3,0.46580625,7.957747155,NA,13.94,161,"C",NA
"ACC011","ACC","Austin Cary FL",11,"PIPA","C","LIVE",33.2,1,2,865.7,0.6889,7.957747155,NA,8.24,157,"C",NA
"ACC012","ACC","Austin Cary FL",12,"PIPA","C","LIVE",33,1,2,855.3,0.680625,7.957747155,NA,5.67,144,"C",NA
"ACC013","ACC","Austin Cary FL",13,"PIPA","C","LIVE",46.5,1,2,1698.2,1.35140625,7.957747155,NA,11.56,143,"C",NA
"ACC014","ACC","Austin Cary FL",14,"PIPA","C","LIVE",24,1,2,452.4,0.36,7.957747155,NA,14.62,140,"C",NA
"ACC015","ACC","Austin Cary FL",15,"PIPA","C","LIVE",27.3,1,2,585.3,0.46580625,7.957747155,NA,12.34,128,"C",NA
"ACC016","ACC","Austin Cary FL",16,"PIPA","C","LIVE",26.8,1,2,564.1,0.4489,7.957747155,NA,10.59,125,"C",NA
"ACC017","ACC","Austin Cary FL",17,"PIPA","C","LIVE",29.3,1,2,674.3,0.53655625,7.957747155,NA,12.49,95,"C",NA
"ACC018","ACC","Austin Cary FL",18,"PIPA","C","LIVE",23.3,1,2,426.4,0.33930625,7.957747155,"tagged: 143",20,39,"C",NA
"ACC019","ACC","Austin Cary FL",19,"PIPA","C","LIVE",36.5,1,2,1046.3,0.83265625,7.957747155,"giant lightning scar, tag burned away",17.89,39,"C",NA
"ACC020","ACC","Austin Cary FL",20,"PIPA","C","LIVE",33.5,1,2,881.4,0.70140625,7.957747155,NA,14.49,41,"C",NA
"ACC021","ACC","Austin Cary FL",21,"PIPA","C","LIVE",31.8,1,2,794.2,0.632025,7.957747155,NA,12.65,50,"C",NA
"ACC022","ACC","Austin Cary FL",22,"PIPA","C","LIVE",24.5,1,2,471.4,0.37515625,7.957747155,NA,7.77,58,"C",NA
"ACC023","ACC","Austin Cary FL",23,"PIPA","C","LIVE",26.5,1,2,551.5,0.43890625,7.957747155,NA,5.14,49,"C",NA
"ACC024","ACC","Austin Cary FL",24,"PIPA","C","LIVE",28.1,1,2,620.2,0.49350625,7.957747155,NA,2.86,42,"C",NA
"ACC025","ACC","Austin Cary FL",25,"PIPA",NA,"DEAD",21.9,1,1,376.7,0.29975625,7.957747155,"1 core, lots of rot",10.47,19,"C",NA
"ACC026","ACC","Austin Cary FL",26,"PIPA",NA,"DEAD",24,1,2,452.4,0.36,7.957747155,"fire scar, rotten",12.73,26,"C",NA
"DHA001","DHA","Duke Hardwood",1,"QUBI","I","LIVE",15.7,1,2,193.6,0.364630178,18.83490451,NA,7.99,137,"A",NA
"DHA002","DHA","Duke Hardwood",2,"LIST","D","LIVE",17.9,1,2,251.6,0.47397929,18.83490451,NA,10.87,136,"A",NA
"DHA003","DHA","Duke Hardwood",3,"QUBI","D","LIVE",59.3,1,2,2761.8,2.19780625,7.957747155,NA,12.41,103,"A",NA
"DHA004","DHA","Duke Hardwood",4,"QUPH","D","LIVE",55.5,1,2,2419.2,1.92515625,7.957747155,"WILLOW OAK",2.08,54,"A",NA
"DHA005","DHA","Duke Hardwood",5,"QUPH","C","LIVE",24.7,1,2,479.2,0.38130625,7.957747155,NA,6.14,54,"A",NA
"DHA006","DHA","Duke Hardwood",6,"QUPH","C","LIVE",43.1,1,2,1459,1.16100625,7.957747155,NA,8.48,29,"A",NA
"DHA007","DHA","Duke Hardwood",7,"ACRU","I","LIVE",21.3,1,2,356.3,0.28355625,7.957747155,"VAR. TRILOBA",11.98,8,"A",NA
"DHA008","DHA","Duke Hardwood",8,"OAK",NA,"DEAD",22.1,1,2,383.6,0.30525625,7.957747155,NA,10.07,35,"A",NA
"DHA009","DHA","Duke Hardwood",9,"OAK",NA,"DEAD",20.8,1,2,339.8,0.2704,7.957747155,NA,11.41,55,"A",NA
"DHA010","DHA","Duke Hardwood",10,"LIST","D","LIVE",66.1,1,2,3431.6,2.73075625,7.957747155,NA,10.69,357,"A",NA
"DHA011","DHA","Duke Hardwood",11,"OAK",NA,"DEAD",26.4,1,2,547.4,0.4356,7.957747155,NA,5.37,350,"A",NA
"DHA012","DHA","Duke Hardwood",12,"QUBI","C","LIVE",42,1,2,1385.4,1.1025,7.957747155,NA,10.84,320,"A",NA
"DHA013","DHA","Duke Hardwood",13,"LIST","I","LIVE",25.1,1,2,494.8,0.39375625,7.957747155,NA,12.34,272,"A",NA
"DHA014","DHA","Duke Hardwood",14,"ACRU","S","LIVE",15.9,1,2,198.6,0.37397929,18.83490451,"VAR. TRILOBA",7.17,266,"A",NA
"DHA015","DHA","Duke Hardwood",15,"QUBI","I","LIVE",24.5,1,2,471.4,0.37515625,7.957747155,NA,2.82,213,"A",NA
"DHA016","DHA","Duke Hardwood",16,"OAK",NA,"DEAD",27.8,1,0,607,0.483025,7.957747155,"no core, rotten @ bottom",6.77,227,"A",NA
"DHA017","DHA","Duke Hardwood",17,"QUBI","I","LIVE",24.5,1,2,471.4,0.37515625,7.957747155,NA,8.58,225,"A",NA
"DHA018","DHA","Duke Hardwood",18,"ULAL","D","LIVE",30.8,1,2,745.1,0.5929,7.957747155,"2x check species, Ulmus?",10.62,226,"A",NA
"DHA019","DHA","Duke Hardwood",19,"QUBI","I","LIVE",23,1,2,415.5,0.330625,7.957747155,NA,9.79,182,"A",NA
"DHA020","DHA","Duke Hardwood",20,"ULAL","I","LIVE",24.2,1,2,460,0.366025,7.957747155,NA,8.23,157,"A",NA
"DHA021","DHA","Duke Hardwood",21,"QUBI","I","LIVE",29.7,1,2,692.8,0.55130625,7.957747155,NA,14.06,152,"A",NA
"DHA022","DHA","Duke Hardwood",22,"FRAM","I","LIVE",31.7,1,2,789.2,0.62805625,7.957747155,NA,19.32,164,"A",NA
