spp,a,b,c,d
white.oak,-1.266,2.613,1,
red.oak,-1.259,2.644,1,
SAAL,1.3539,1.3412,2,
LITU,-1.236,2.635,1,
ACSA,1.2315,1.6376,2,
FAGR,2.1112,2.462,1,
frax,1.2784,1.4248,2,
