all	fir	pine	spruce
1700	0	0	0	0
1701	0	0	0	0
1702	0	0	0	0
1703	0	0	0	0
1704	0	0	0	0
1705	0	0	0	0
1706	0	0	0	0
1707	0	0	0	0
1708	0	0	0	0
1709	0	0	0	0
1710	0	0	0	0
1711	0	0	0	0
1712	0	0	0	0
1713	0	0	0	0
1714	0	0	0	0
1715	0	0	0	0
1716	0	0	0	0
1717	0	0	0	0
1718	0	0	0	0
1719	0	0	0	0
1720	0	0	0	0
1721	0	0	0	0
1722	0	0	0	0
1723	0	0	0	0
1724	0	0	0	0
1725	0	0	0	0
1726	0	0	0	0
1727	0	0	0	0
1728	0	0	0	0
1729	0	0	0	0
1730	0	0	0	0
1731	0	0	0	0
1732	0	0	0	0
1733	0	0	0	0
1734	0	0	0	0
1735	0	0	0	0
1736	0	0	0	0
1737	0	0	0	0
1738	0	0	0	0
1739	0	0	0	0
1740	0	0	0	0
1741	0	0	0	0
1742	0	0	0	0
1743	0	0	0	0
1744	0	0	0	0
1745	0	0	0	0
1746	0	0	0	0
1747	0	0	0	0
1748	0	0	0	0
1749	0	0	0	0
1750	0	0	0	0
1751	0	0	0	0
1752	0	0	0	0
1753	0	0	0	0
1754	0	0	0	0
1755	0	0	0	0
1756	0	0	0	0
1757	0	0	0	0
1758	0	0	0	0
1759	0	0	0	0
1760	0	0	0	0
1761	0	0	0	0
1762	0	0	0	0
1763	0	0	0	0
1764	0	0	0	0
1765	0	0	0	0
1766	0	0	0	0
1767	0	0	0	0
1768	0	0	0	0
1769	0	0	0	0
1770	0	0	0	0
1771	0	0	0	0
1772	0	0	0	0
1773	0	0	0	0
1774	0	0	0	0
1775	0	0	0	0
1776	0	0	0	0
1777	0	0	0	0
1778	0	0	0	0
1779	0	0	0	0
1780	0	0	0	0
1781	0	0	0	0
1782	0	0	0	0
1783	0	0	0	0
1784	0	0	0	0
1785	0	0	0	0
1786	0	0	0	0
1787	0	0	0	0
1788	0	0	0	0
1789	0	0	0	0
1790	0	0	0	0
1791	0	0	0	0
1792	0	0	0	0
1793	0.221981019076214	0.0880583632374512	0.0702998049360536	0.0636228509027092
1794	1.28001429641754	0.534663134935919	0.408945421915734	0.336405739565891
1795	2.20369839351903	0.775077084258357	0.580321156645565	0.848300152615105
1796	5.41058175713295	1.66442084513916	1.22780872790533	2.51835218408847
1797	6.95606812045549	1.75109846706891	1.27767018839904	3.92729946498754
1798	10.8737674387557	2.0551939065427	1.48842188617902	7.33015164603401
1799	11.1757230150903	2.23957802137796	1.61241011650539	7.32373487720697
1800	15.0917136148959	2.15268132871468	1.54276775751235	11.3962645286689
1801	14.7648155990741	2.48662855807471	1.775251860668	10.5029351803314
1802	17.1973601784398	2.76737755519598	1.96862678481756	12.4613558384263
1803	18.8065388594093	3.26076902236272	2.31172540076218	13.2340444362844
1804	20.6135585368716	4.52625748280708	3.1972517233944	12.8900493306701
1805	20.0320623417542	4.65429965122048	3.27603159926259	12.1017310912711
1806	22.9611933827002	5.37459038224462	3.77080779072112	13.8157952097344
1807	25.1470522445189	5.52947126605284	3.46044441014403	16.157136568322
1808	22.1720382535354	5.31204112381338	3.45722029046497	13.4027768392571
1809	24.1581491794685	5.77132354935392	3.83978973419069	14.5470358959239
1810	26.0480702318846	7.12507412253568	4.3728669197733	14.5501291895756
1811	25.7295708016118	6.99757162341606	3.82389856568525	14.9081006125105
1812	30.6133458638038	8.03550242326718	4.12219199931028	18.4556514412264
1813	28.7807308049877	6.09154466782585	3.74769756871422	18.9414885684476
1814	31.2906018335709	6.62894045081121	3.92840595721288	20.7332554255468
1815	32.1146468422201	6.30267203973095	3.90997179940868	21.9020030030805
1816	36.1641023496925	7.81040482880204	4.30589383081861	24.0478036900719
1817	36.740005307779	7.77447576371958	4.34782567891895	24.6177038651405
1818	34.9444584353984	8.34865234612386	4.79274204430084	21.8030640449737
1819	37.8946357359681	9.17151134887712	5.02242523602919	23.7006991510618
1820	41.5127529022002	10.7298289963471	5.3451936867988	25.4377302190543
1821	44.576245900453	9.81714257274021	4.7868434302433	29.9722598974694
1822	44.2184909716756	10.2488562920261	4.58300720615064	29.3866274734988
1823	47.1953622190755	11.5441711058699	4.67020283881714	30.9809882743885
1824	46.1789994727291	13.3317490753459	5.19085499428524	27.6563954030979
1825	48.8089109916633	12.8756801161651	5.10969053070698	30.8235403447913
1826	50.9120566294665	13.1944776159799	4.61039228914376	33.1071867243429
1827	44.0927375995236	13.1164174811973	3.85741321735846	27.1189069009678
1828	56.2077160608605	13.8061242242993	4.35739750624443	38.0441943303168
1829	56.3204831924323	12.2711501983251	5.43745712756557	38.6118758665417
1830	37.9414990472824	4.42139690218071	2.84206012654478	30.6780420185569
1831	44.2639517089084	10.142940846808	4.24176496079211	29.8792459013083
1832	51.4387805071612	9.85901037043005	5.99169055355848	35.5880795831727
1833	53.6507647480256	10.9112609597339	5.29087425577685	37.4486295325148
1834	40.4664687391553	9.73218792423379	3.38250142286811	27.3517793920533
1835	45.0366104530542	14.0747084846941	4.19963792195682	26.7622640464033
1836	49.1424005756138	14.4410715199376	4.92030243831031	29.7810266173659
1837	53.2533246146659	17.4933880180359	4.96742843163231	30.7925081649977
1838	46.4315682951541	14.8553519750532	4.87274721945753	26.7034691006434
1839	49.6543478936973	17.1825866719338	5.40907532831812	27.0626858934454
1840	48.6914557463926	15.5722924720637	5.19714337417058	27.9220199001584
1841	46.8122936798627	10.7456482509036	4.38045218252769	31.6861932464314
1842	44.1801927292702	15.2742976697337	4.69246620823933	24.2134288512971
1843	56.1544590634602	13.3761043507951	6.13004278650579	36.6483119261593
1844	56.3072966578561	16.6098803998385	5.65359026005562	34.043825997962
1845	42.5703113657675	16.8169531099237	4.62398799891094	21.1293702569329
1846	42.2907739223908	15.278416979357	4.13083350359473	22.8815234394391
1847	32.8873796295233	11.1742499745554	2.87018820049009	18.8429414544778
1848	37.1976345288421	12.6592092750116	3.29729832039465	21.2411269334358
1849	40.490724431789	13.2982134161945	3.81723727594357	23.3752737396509
1850	37.5830350139338	13.8766797346064	3.77482824513043	19.931527034197
1851	33.1908075035922	16.091891096117	3.31375904875517	13.78515735872
1852	39.6120442056264	15.0917857467023	3.73487380383713	20.785384655087
1853	42.1050396897381	12.9795447179147	3.57347099470052	25.5520239771229
1854	43.4892049238262	15.3906697286644	3.77755739208948	24.3209778030724
1855	46.8317591738718	17.0208948929052	5.53017356078654	24.2806907201802
1856	54.4115443429063	17.9281517941572	5.80425602696615	30.6791365217829
1857	43.886090909774	16.6782446260211	5.42663525069228	21.7812110330607
1858	52.5008909142434	18.4217613709662	6.06135976749828	28.0177697757789
1859	42.0027229879231	16.7811301311233	4.98362252089556	20.2379703359042
1860	45.8995260635135	17.8885414833311	5.61842659348599	22.3925579866965
1861	42.1346854709396	17.20208076839	5.02816177294705	19.9044429296026
1862	52.1717883384756	18.6138788263556	6.38650363369103	27.171405878429
