TreeID,PlotID,Site,Tree,Species,Canopy Class,Live/Dead,DBH (cm),Stems,Total Cores,Basal Area (cm2),basal area (m2/ha),Density (stems/ha),notes,Distance,Azimuth
ACB016,ACB,Austin Cary FL,016,PIPA,C,LIVE,31.40,1,2,774.4,0.616225,7.957747155,,10.52,214
ACB017,ACB,Austin Cary FL,017,PIPA,C,LIVE,26.70,1,2,559.9,0.44555625,7.957747155,,18.83,199
ACB018,ACB,Austin Cary FL,018,PIPA,C,LIVE,28.80,1,2,651.4,0.5184,7.957747155,,16.29,182
ACB019,ACB,Austin Cary FL,019,PIPA,C,LIVE,28.50,1,2,637.9,0.50765625,7.957747155,,15.78,167
ACB020,ACB,Austin Cary FL,020,PIPA,C,LIVE,34.90,1,2,956.6,0.76125625,7.957747155,has a large fire scar,15.89,165
ACB021,ACB,Austin Cary FL,021,PIPA,C,LIVE,29.70,1,2,692.8,0.55130625,7.957747155,,12.50,166
ACB022,ACB,Austin Cary FL,022,PIPA,C,LIVE,24.00,1,2,452.4,0.36,7.957747155,,9.79,127
ACB023,ACB,Austin Cary FL,023,PIPA,C,LIVE,32.60,1,2,834.7,0.664225,7.957747155,,6.36,134
ACB024,ACB,Austin Cary FL,024,PIPA,C,LIVE,32.70,1,2,839.8,0.66830625,7.957747155,,0.95,56
ACB025,ACB,Austin Cary FL,025,PIPA,C,LIVE,13.60,1,2,145.3,0.273609467,18.83490451,,1.30,54
ACB026,ACB,Austin Cary FL,026,PIPA,C,LIVE,35.50,1,2,989.8,0.78765625,7.957747155,,14.52,109
ACB027,ACB,Austin Cary FL,027,PIPA,C,LIVE,33.80,1,2,897.3,0.714025,7.957747155,,13.94,91
ACB028,ACB,Austin Cary FL,028,PIPA,C,LIVE,25.50,1,2,510.7,0.40640625,7.957747155,,9.05,71
ACB029,ACB,Austin Cary FL,029,PIPA,C,LIVE,20.80,1,2,339.8,0.2704,7.957747155,,15.96,50
ACB030,ACB,Austin Cary FL,030,PIPA,C,LIVE,28.60,1,2,642.4,0.511225,7.957747155,,16.69,49
ACB031,ACB,Austin Cary FL,031,PIPA,C,LIVE,28.50,1,2,637.9,0.50765625,7.957747155,,19.37,18
ACB032,ACB,Austin Cary FL,032,PIPA,*,DEAD,10.60,1,0,88.2,0.166213018,18.83490451,"unstable, no core",10.85,135
ACC001,ACC,Austin Cary FL,001,PIPA,*,DEAD,22.40,1,0,394.1,0.3136,7.957747155,"burned severely, no core",4.58,291
ACC002,ACC,Austin Cary FL,002,PIPA,C,LIVE,37.70,1,2,1116.3,0.88830625,7.957747155,,6.06,301
ACC003,ACC,Austin Cary FL,003,PIPA,C,LIVE,27.60,1,2,598.3,0.4761,7.957747155,,11.57,305
ACC004,ACC,Austin Cary FL,004,PIPA,C,LIVE,35.30,1,2,978.7,0.77880625,7.957747155,has a fire scar @ base,15.23,273
ACC005,ACC,Austin Cary FL,005,PIPA,C,LIVE,29.40,1,2,678.9,0.540225,7.957747155,,18.46,257
ACC006,ACC,Austin Cary FL,006,PIPA,C,LIVE,30.50,1,2,730.6,0.58140625,7.957747155,,16.09,226
ACC007,ACC,Austin Cary FL,007,PIPA,C,LIVE,26.30,1,2,543.3,0.43230625,7.957747155,,12.23,207
ACC008,ACC,Austin Cary FL,008,PIPA,C,LIVE,23.50,1,2,433.7,0.34515625,7.957747155,,6.86,210
ACC009,ACC,Austin Cary FL,009,PIPA,C,LIVE,28.50,1,2,637.9,0.50765625,7.957747155,,16.69,184
ACC010,ACC,Austin Cary FL,010,PIPA,C,LIVE,27.30,1,2,585.3,0.46580625,7.957747155,,13.94,161
ACC011,ACC,Austin Cary FL,011,PIPA,C,LIVE,33.20,1,2,865.7,0.6889,7.957747155,,8.24,157
ACC012,ACC,Austin Cary FL,012,PIPA,C,LIVE,33.00,1,2,855.3,0.680625,7.957747155,,5.67,144
ACC013,ACC,Austin Cary FL,013,PIPA,C,LIVE,46.50,1,2,1698.2,1.35140625,7.957747155,,11.56,143
ACC014,ACC,Austin Cary FL,014,PIPA,C,LIVE,24.00,1,2,452.4,0.36,7.957747155,,14.62,140
ACC015,ACC,Austin Cary FL,015,PIPA,C,LIVE,27.30,1,2,585.3,0.46580625,7.957747155,,12.34,128
ACC016,ACC,Austin Cary FL,016,PIPA,C,LIVE,26.80,1,2,564.1,0.4489,7.957747155,,10.59,125
ACC017,ACC,Austin Cary FL,017,PIPA,C,LIVE,29.30,1,2,674.3,0.53655625,7.957747155,,12.49,95
ACC018,ACC,Austin Cary FL,018,PIPA,C,LIVE,23.30,1,2,426.4,0.33930625,7.957747155,tagged: 143,20.00,39
ACC019,ACC,Austin Cary FL,019,PIPA,C,LIVE,36.50,1,2,1046.3,0.83265625,7.957747155,"giant lightning scar, tag burned away",17.89,39
ACC020,ACC,Austin Cary FL,020,PIPA,C,LIVE,33.50,1,2,881.4,0.70140625,7.957747155,,14.49,41
ACC021,ACC,Austin Cary FL,021,PIPA,C,LIVE,31.80,1,2,794.2,0.632025,7.957747155,,12.65,50
ACC022,ACC,Austin Cary FL,022,PIPA,C,LIVE,24.50,1,2,471.4,0.37515625,7.957747155,,7.77,58
ACC023,ACC,Austin Cary FL,023,PIPA,C,LIVE,26.50,1,2,551.5,0.43890625,7.957747155,,5.14,49
ACC024,ACC,Austin Cary FL,024,PIPA,C,LIVE,28.10,1,2,620.2,0.49350625,7.957747155,,2.86,42
ACC025,ACC,Austin Cary FL,025,PIPA,*,DEAD,21.90,1,1,376.7,0.29975625,7.957747155,"1 core, lots of rot",10.47,19
ACC026,ACC,Austin Cary FL,026,PIPA,*,DEAD,24.00,1,2,452.4,0.36,7.957747155,"fire scar, rotten",12.73,26
DHA001,DHA,Duke Hardwood,001,QUBI,I,LIVE,15.70,1,2,193.6,0.364630178,18.83490451,,7.99,137
DHA002,DHA,Duke Hardwood,002,LIST,D,LIVE,17.90,1,2,251.6,0.47397929,18.83490451,,10.87,136
DHA003,DHA,Duke Hardwood,003,QUBI,D,LIVE,59.30,1,2,2761.8,2.19780625,7.957747155,,12.41,103
DHA004,DHA,Duke Hardwood,004,QUPH,D,LIVE,55.50,1,2,2419.2,1.92515625,7.957747155,WILLOW OAK,2.08,54
DHA005,DHA,Duke Hardwood,005,QUPH,C,LIVE,24.70,1,2,479.2,0.38130625,7.957747155,,6.14,54
DHA006,DHA,Duke Hardwood,006,QUPH,C,LIVE,43.10,1,2,1459.0,1.16100625,7.957747155,,8.48,29
DHA007,DHA,Duke Hardwood,007,ACRU,I,LIVE,21.30,1,2,356.3,0.28355625,7.957747155,VAR. TRILOBA,11.98,8
DHA008,DHA,Duke Hardwood,008,OAK,*,DEAD,22.10,1,2,383.6,0.30525625,7.957747155,,10.07,35
DHA009,DHA,Duke Hardwood,009,OAK,*,DEAD,20.80,1,2,339.8,0.2704,7.957747155,,11.41,55
DHA010,DHA,Duke Hardwood,010,LIST,D,LIVE,66.10,1,2,3431.6,2.73075625,7.957747155,,10.69,357
DHA011,DHA,Duke Hardwood,011,OAK,*,DEAD,26.40,1,2,547.4,0.4356,7.957747155,,5.37,350
DHA012,DHA,Duke Hardwood,012,QUBI,C,LIVE,42.00,1,2,1385.4,1.1025,7.957747155,,10.84,320
DHA013,DHA,Duke Hardwood,013,LIST,I,LIVE,25.10,1,2,494.8,0.39375625,7.957747155,,12.34,272
DHA014,DHA,Duke Hardwood,014,ACRU,S,LIVE,15.90,1,2,198.6,0.37397929,18.83490451,VAR. TRILOBA,7.17,266
DHA015,DHA,Duke Hardwood,015,QUBI,I,LIVE,24.50,1,2,471.4,0.37515625,7.957747155,,2.82,213
DHA016,DHA,Duke Hardwood,016,OAK,*,DEAD,27.80,1,0,607.0,0.483025,7.957747155,"no core, rotten @ bottom",6.77,227
DHA017,DHA,Duke Hardwood,017,QUBI,I,LIVE,24.50,1,2,471.4,0.37515625,7.957747155,,8.58,225
DHA018,DHA,Duke Hardwood,018,ULAL,D,LIVE,30.80,1,2,745.1,0.5929,7.957747155,"2x check species, Ulmus?",10.62,226
