"","xxxstd","samp.depth"
"1904",1.46932554097606,3
"1905",1.14105805785755,5
"1906",0.96817553106849,8
"1907",0.907201333715053,10
"1908",0.912726558431298,11
"1909",0.937395698513576,12
"1910",1.00711470998679,14
"1911",0.898666709846029,15
"1912",1.13352577868546,16
"1913",0.827698229858383,18
"1914",0.814484004583607,18
"1915",1.31281181920974,18
"1916",1.13255720059957,19
"1917",1.12560092082766,19
"1918",0.80641105711935,20
"1919",0.760447135927131,20
"1920",1.00729985252589,20
"1921",0.888863179425911,20
"1922",0.974783795362092,20
"1923",0.737165121994249,20
"1924",1.0848195596522,21
"1925",0.970375790096457,23
"1926",0.758049223109356,23
"1927",1.21149947551024,23
"1928",0.983474738748409,24
"1929",1.13025753965114,24
"1930",0.756333037273414,24
"1931",1.13798128186941,25
"1932",0.970257464493648,26
"1933",0.596799353117968,26
"1934",1.02630526917495,27
"1935",1.08401490557159,29
"1936",0.620287738156442,29
"1937",1.41738000644635,29
"1938",1.44883328816637,29
"1939",0.994620485493597,29
"1940",0.809339815152907,29
"1941",0.930203980071515,29
"1942",1.20165261388661,29
"1943",0.635376644335103,31
"1944",0.52982197415507,31
"1945",1.65820107250555,31
"1946",0.861352006016612,32
"1947",1.11404663630961,32
"1948",1.10345567517119,32
"1949",1.0847090516306,32
"1950",1.00671001539352,34
"1951",1.08906023876849,34
"1952",0.845153909713992,34
"1953",0.800930889833551,34
"1954",1.07967801146686,34
"1955",1.18132358024381,34
"1956",0.849823442560567,36
"1957",0.950322465843173,36
"1958",0.87201020710088,36
"1959",0.355022713513662,38
"1960",0.705122998164269,38
"1961",0.465344967682952,38
"1962",1.22222610356751,39
"1963",1.40790971487439,39
"1964",1.21241393381054,39
"1965",1.46484016229235,40
"1966",1.0251735731597,41
"1967",0.994782247813897,41
"1968",1.04742704980007,43
"1969",0.863777489698648,44
"1970",0.692059313137335,45
"1971",0.787733655225548,45
"1972",0.716019155687478,45
"1973",0.683976797354902,45
"1974",0.979605540802223,45
"1975",1.20171256717081,45
"1976",1.26198771038133,46
"1977",1.01690262206719,47
"1978",1.12622254743239,48
"1979",1.20520462267281,48
"1980",1.12606848453819,48
"1981",1.01571170151569,48
"1982",1.11006696549873,49
"1983",0.776940351348091,49
"1984",0.757327318999371,49
"1985",0.943720641262107,49
"1986",0.843571306900297,49
"1987",0.972743057530698,49
"1988",0.479216983811462,49
"1989",0.853379529809338,49
"1990",0.923895674322469,49
"1991",0.872782531878299,49
"1992",1.69946396561489,49
"1993",1.2175022643253,49
"1994",0.902326961861116,49
"1995",1.15820740613075,49
"1996",0.727618848413969,49
"1997",0.903633356774719,49
"1998",0.932059566057515,49
"1999",0.929656798480543,49
"2000",0.926747205407311,49
"2001",1.13240584047413,49
"2002",0.977017246217171,49
"2003",1.03644683932109,49
"2004",0.792191438067446,49
"2005",1.03028955506035,49
"2006",1.03633235768931,49
"2007",0.802559878340398,48
"2008",1.18208193603925,47
"2009",1.01511387873672,47
"2010",1.11139663479754,47
"2011",0.910627430272517,46
"2012",0.865637770329811,46
"2013",1.01305097030652,42
"2014",0.312388932062096,11
