"","xxxstd","samp.depth"
"1905",0.903225467360457,2
"1906",0.925093214144518,2
"1907",1.08353890235795,2
"1908",1.06050184176855,2
"1909",1.36147504884501,2
"1910",1.2801423663628,3
"1911",0.768000557010868,3
"1912",0.984569523052165,3
"1913",0.809905526945328,3
"1914",0.692705029166786,3
"1915",1.10287293044854,3
"1916",1.21819160956184,3
"1917",1.02434105147513,3
"1918",0.835139264783487,3
"1919",0.871028209454935,4
"1920",1.02583566254013,4
"1921",0.88722743597584,4
"1922",0.920097293304832,4
"1923",0.988248416935639,4
"1924",0.948732150658636,5
"1925",0.81169795069098,5
"1926",1.03378170830902,5
"1927",1.1294062051092,6
"1928",1.20705369202066,6
"1929",1.1739176506455,6
"1930",0.990669381464842,6
"1931",0.929032721837673,6
"1932",1.02299115699236,6
"1933",0.829198381345275,6
"1934",0.953177410124339,6
"1935",1.07337945999439,6
"1936",0.757923501403515,6
"1937",0.972485384230449,6
"1938",1.16501020602733,6
"1939",1.15815971203632,6
"1940",1.01873773551893,6
"1941",1.00548716175435,6
"1942",1.19405673393014,7
"1943",0.954645065525725,7
"1944",0.814567578495961,7
"1945",0.98366767437097,7
"1946",0.942263937027468,7
"1947",1.02504106301978,7
"1948",0.944060518075335,7
"1949",1.00738585571038,7
"1950",1.07888151195618,7
"1951",1.17736792373415,7
"1952",0.963065554931544,7
"1953",0.927621262135072,7
"1954",0.960133727729037,7
"1955",0.888459950325241,7
"1956",1.02041567414328,7
"1957",1.00866086430415,7
"1958",1.12600430861077,7
"1959",0.921537446931461,7
"1960",0.907735417527793,7
"1961",0.855917398243877,7
"1962",0.742945325372351,7
"1963",0.803919080451488,7
"1964",0.847444710566254,8
"1965",1.20137187543537,8
"1966",1.10578548267805,8
"1967",0.966619204403333,8
"1968",1.20932390557839,8
"1969",1.21414991554129,8
"1970",1.05289686912221,8
"1971",0.93212665675431,8
"1972",0.853982322758722,8
"1973",0.690190002469728,8
"1974",0.6577450745195,8
"1975",1.01862278485306,8
"1976",1.07167856219388,8
"1977",1.15271060432438,8
"1978",1.28487318472973,8
"1979",1.1331511093801,8
"1980",1.03383357158806,8
"1981",0.930840239894691,8
"1982",1.30216937100983,8
"1983",0.944273208665931,8
"1984",0.842193123669208,8
"1985",0.942572305427853,8
"1986",0.849613073536902,8
"1987",0.897264621406448,8
"1988",0.717013879605964,8
"1989",0.859497978455993,8
"1990",0.781980058811744,8
"1991",0.804864996590573,8
"1992",1.27859907514843,8
"1993",1.18382669304434,8
"1994",0.94334998939992,8
"1995",1.01202846964961,8
"1996",0.914725281855403,8
"1997",0.852065753890001,8
"1998",1.31672697888795,8
"1999",0.936124393492255,8
"2000",0.898500848971314,8
"2001",1.1067156525112,8
"2002",0.973730527412134,8
"2003",1.06478520163658,8
"2004",1.00381366416484,8
"2005",0.998086292451042,8
"2006",0.95523891024664,8
"2007",0.894471936642031,8
"2008",1.01472122422594,8
"2009",1.09122587004992,8
"2010",1.0069524154078,8
"2011",1.04897310239068,8
"2012",1.00442131349387,8
"2013",1.3257926914254,8
"2014",0.62289294006017,8
