"","xxxstd","samp.depth"
"1967",1.9156937385794,1
"1968",1.26469433605383,3
"1969",0.99218557416104,4
"1970",0.895189756971417,5
"1971",0.73468242157709,5
"1972",0.638414556037417,5
"1973",0.668855640695195,5
"1974",0.935091175745398,6
"1975",1.12165383460053,8
"1976",1.06471398665257,9
"1977",1.0539833880448,9
"1978",1.03299426090056,9
"1979",1.08894456157315,10
"1980",1.18412132774239,10
"1981",0.997904674228081,10
"1982",1.1017376675936,10
"1983",0.861167695020875,10
"1984",0.87827813753796,10
"1985",0.978351584074898,11
"1986",1.17115649087079,11
"1987",1.13493256772229,11
"1988",0.762134682526757,11
"1989",0.842324380579589,12
"1990",0.814486089379356,12
"1991",0.55605245774968,12
"1992",0.826599018192582,12
"1993",0.9676992318897,12
"1994",0.875054862979178,12
"1995",0.900322801792347,12
"1996",1.00831747674972,12
"1997",1.0398471586352,12
"1998",1.03125693456946,13
"1999",1.05764274497138,13
"2000",1.22658508167873,13
"2001",1.12464632351654,13
"2002",0.942470290856592,13
"2003",1.01677444830768,13
"2004",0.993298894471995,13
"2005",1.04686934799202,13
"2006",0.943136323126219,13
"2007",0.936026178097674,13
"2008",0.916694995418642,13
"2009",0.870704041715298,13
"2010",1.04485351818977,13
"2011",1.0131428437245,13
"2012",0.915043990230034,13
"2013",1.34102440954687,13
"2014",0.505207530946683,13
